Year,Team,Team Abbreviation,Player,Free Agent,Free Agent Date,Team Options Exercised,Team Options Exercised Date,Veteran Scale Extension,Veteran Scale Extension Team,Veteran Scale Extension Team Abbreviation,Rookie Scale Extension,Rookie Scale Extension Team,Rookie Scale Extension Team Abbreviation,Waived,Waived Date,Newly Acquired,Newly Acquired Date,url
1983-1984,Atlanta Hawks,ATL,"Eddie Johnson, Jr.",1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,John Pinone,,,,,,,,,,,1,"Nov 26, 1983",,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Randy Smith,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Wes Matthews,1,"Mar 4, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Armond Hill,,,,,,,,,,,1,"Dec 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Cliff Levingston,,,,,,,,,,,,,1,"Jun 18, 1984",https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Charlie Criss,1,"Feb 14, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Sly Williams,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Atlanta Hawks,ATL,Tree Rollins,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/1/Transaction_History/1984
1983-1984,Boston Celtics,BOS,John Schweitz,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Craig Robinson,,,,,,,,,,,1,"Oct 5, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Tiny Archibald,,,,,,,,,,,1,"Jul 22, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Boston Celtics,BOS,Charles Bradley,,,,,,,,,,,1,"Oct 21, 1983",,,https://basketball.realgm.com/nba/teams/Random/2/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Dudley Bradley,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Ron Crevier,,,,,,,,,,,1,"Oct 14, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Tracy Jackson,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Larry Spriggs,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Mike Bratz,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Steve Johnson,,,,,,,,,,,,,1,"Feb 15, 1984",https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Tim Andree,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Chicago Bulls,CHI,Ed Rains,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/4/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Phil Hubbard,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Linton Townes,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Geoff Huston,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Bruce Flowers,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Richard Washington,,,,,,,,,,,1,"Oct 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,World B. Free,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,John Lucas,,,,,,,,,,,1,"Sep 21, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Carl Nicks,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Dwight Jones,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Bob Wilkerson,,,,,,,,,,,1,"Oct 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Derrick Hord,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Geff Crompton,1,"Mar 20, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Cleveland Cavaliers,CLE,Ben Poquette,,,,,,,,,,,,,1,"Oct 14, 1983",https://basketball.realgm.com/nba/teams/Random/5/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,U.S. Reed,,,,,,,,,,,1,"Aug 15, 1983",,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Terrell Schlundt,,,,,,,,,,,1,"Oct 14, 1983",,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Roger Phegley,1,"Feb 28, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Corny Thompson,,,,,,,,,,,1,"Dec 8, 1983",,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Allan Bristow,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Jim Lampley,,,,,,,,,,,1,"Oct 11, 1983",,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Dallas Mavericks,DAL,Foots Walker,,,,,,,,,,,1,"Oct 11, 1983",,,https://basketball.realgm.com/nba/teams/Random/6/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Calvin Natt,,,,,,,,,,,,,1,"Jun 7, 1984",https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Kenny Dennard,,,,,,,,,,,1,"Feb 25, 1984",,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Fat Lever,,,,,,,,,,,,,1,"Jun 7, 1984",https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Keith Edmonson,,,,,,,,,,,,,1,"Jan 21, 1984",https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Wayne Cooper,,,,,,,,,,,,,1,"Jun 7, 1984",https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Dave Robisch,,,,,,,,,,,1,"Dec 13, 1983",,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Maurice McDaniel,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,David Russell,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Richard Anderson,,,,,,,,,,,,,1,"Oct 4, 1983",https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Dan Issel,,,,,1,Denver Nuggets,DEN,,,,,,,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,James Ray,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Glen Gondrezick,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,Anthony Roberts,1,"Feb 26, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Denver Nuggets,DEN,David Little,,,,,,,,,,,1,"Sep 23, 1983",,,https://basketball.realgm.com/nba/teams/Random/7/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Ken Austin,,,,,,,,,,,1,"Nov 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Steve Hayes,,,,,,,,,,,1,"Oct 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Tom Owens,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Bill Laimbeer,,,,,1,Detroit Pistons,DET,,,,,,,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Jim Johnstone,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,James Wilkes,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,"Walker Russell, Sr.",,,,,,,,,,,1,"Dec 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,David Thirdkill,,,,,,,,,,,,,1,"Oct 17, 1983",https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Tico Brown,,,,,,,,,,,1,"Oct 18, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Petur Gudmundsson,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Tony Brown,,,,,,,,,,,1,"Aug 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Detroit Pistons,DET,Dan Roundfield,,,,,,,,,,,,,1,"Jun 18, 1984",https://basketball.realgm.com/nba/teams/Random/8/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Darren Tillis,,,,,,,,,,,,,1,"Aug 16, 1983",https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Lewis Lloyd,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Jerome Whitehead,,,,,,,,,,,,,1,"Jun 9, 1984",https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Lorenzo Romar,,,,,,,,,,,1,"Nov 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Derek Smith,,,,,,,,,,,1,"Sep 8, 1983",,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Mike Holton,,,,,,,,,,,1,"Oct 5, 1983",,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Peter Thibeaux,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Ron Brewer,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Mickey Johnson,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Golden State Warriors,GSW,Mike Gale,,,,,,,,,,,1,"Aug 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/9/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Jeff Taylor,,,,,,,,,,,1,"Oct 27, 1983",,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Tom Henderson,,,,,,,,,,,1,"Oct 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Joe Bryant,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Robert Reid,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,James Bailey,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Calvin Murphy,,,,,,,,,,,1,"Oct 27, 1983",,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Allen Leavell,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Houston Rockets,HOU,Chuck Nevitt,,,,,,,,,,,1,"Nov 29, 1983",,,https://basketball.realgm.com/nba/teams/Random/10/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Glen Gondrezick,,,,,,,,,,,1,"Oct 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Tracy Jackson,1,"Jan 22, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Russ Schoene,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Hank McDowell,,,,,,,,,,,,,1,"Oct 7, 1983",https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Clark Kellogg,,,,,1,Indiana Pacers,IND,,,,,,,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Bruce Kuczenski,1,"Feb 28, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Ray McCallum,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Jose Slaughter,,,,,,,,,,,1,"Oct 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Greg Jones,,,,,,,,,,,1,"Oct 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Vince Taylor,,,,,,,,,,,,,1,"Sep 17, 1983",https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,John Duren,,,,,,,,,,,1,"Sep 29, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Brook Steppe,,,,,,,,,,,,,1,"Sep 17, 1983",https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Marty Byrnes,,,,,,,,,,,1,"Sep 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Indiana Pacers,IND,Brad Branson,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/11/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Billy McKinney,,,,,,,,,,,,,1,"Oct 4, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Larry Anderson,,,,,,,,,,,1,"Oct 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Lionel Hollins,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Mike Harper,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Linton Townes,,,,,,,,,,,1,"Jan 13, 1984",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Greg Kelser,,,,,,,,,,,,,1,"Aug 18, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Bob Gross,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Lowes Moore,,,,,,,,,,,1,"Oct 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Hutch Jones,,,,,,,,,,,1,"Dec 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Mark Radford,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Eddie Jordan,,,,,,,,,,,1,"Oct 14, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Wes Matthews,,,,,,,,,,,1,"Oct 14, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Hank McDowell,,,,,,,,,,,,,1,"Oct 26, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,James Donaldson,,,,,,,,,,,,,1,"Aug 26, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Kevin Loder,1,"Feb 28, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Dwight Anderson,,,,,,,,,,,1,"Oct 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Joe Cooper,,,,,,,,,,,1,"Aug 9, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Jim Brogan,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Kevin Figaro,,,,,,,,,,,1,"Oct 26, 1983",,,https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Norm Nixon,,,,,,,,,,,,,1,"Oct 10, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Clippers,LAC,Ricky Pierce,,,,,,,,,,,,,1,"Oct 17, 1983",https://basketball.realgm.com/nba/teams/Random/12/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Ron Carter,,,,,,,,,,,1,"Oct 24, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Steve Mix,,,,,,,,,,,1,"Sep 7, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Mark Landsberger,,,,,,,,,,,1,"Nov 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Swen Nater,,,,,,,,,,,,,1,"Oct 10, 1983",https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Dwight Jones,,,,,,,,,,,1,"Aug 22, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Clay Johnson,,,,,,,,,,,1,"Nov 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Dale Wilkinson,,,,,,,,,,,1,"Oct 17, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Freeman Williams,,,,,,,,,,,1,"Oct 3, 1983",,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Los Angeles Lakers,LAL,Kareem Abdul-Jabbar,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/13/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Billy Goodwin,,,,,,,,,,,1,"Sep 30, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Harvey Catchings,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Mark Petteway,,,,,,,,,,,1,"Oct 24, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Bill Varner,,,,,,,,,,,1,"Oct 24, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Kevin Grevey,,,,,,,,,,,,,1,"Sep 30, 1983",https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Brian Winters,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Dave Cowens,,,,,,,,,,,1,"Aug 18, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Linton Townes,,,,,,,,,,,1,"Nov 16, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Mark Nickens,,,,,,,,,,,1,"Sep 30, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Phil Ford,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Charlie Criss,,,,,,,,,,,1,"Nov 23, 1983",,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Junior Bridgeman,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Sidney Moncrief,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,Milwaukee Bucks,MIL,Rory White,1,"Jan 15, 1984",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/16/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Kelvin Ransey,,,,,,,,,,,,,1,"Aug 12, 1983",https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Reggie Johnson,,,,,,,,,,,,,1,"Oct 25, 1983",https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Bruce Kuczenski,,,,,,,,,,,1,"Dec 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Kevin Black,,,,,,,,,,,1,"Jul 30, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Dirk Minniefield,,,,,,,,,,,1,"Oct 25, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Mark Jones,,,,,,,,,,,1,"Dec 19, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Dan Callandrillo,,,,,,,,,,,1,"Jul 30, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Darwin Cook,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New Jersey Nets,NJN,Perry Moss,,,,,,,,,,,1,"Oct 13, 1983",,,https://basketball.realgm.com/nba/teams/Random/18/Transaction_History/1984
1983-1984,New York Knicks,NYK,Troy Lee Mikell,,,,,,,,,,,1,"Jul 31, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Tony Guy,,,,,,,,,,,1,"Jul 31, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Mike Davis,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Mike Lang,,,,,,,,,,,1,"Jul 31, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Marvin Webster,1,"Jul 1, 1983",,,,,,,,,,,,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Charles A. Jones,,,,,,,,,,,1,"Oct 24, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Ralph McPherson,,,,,,,,,,,1,"Oct 20, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Otis Howard,,,,,,,,,,,1,"Oct 10, 1983",,,https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
1983-1984,New York Knicks,NYK,Ray Williams,,,,,,,,,,,,,1,"Sep 17, 1983",https://basketball.realgm.com/nba/teams/Random/20/Transaction_History/1984
